COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,MEDIA_GMEAN,MEDIA_MEDIA,MODA_MEDIA,HMEAN_GMEAN,MODA_MIN,MAX_MIN,MEDIA_MIN,MODA_PESO_GMEAN,MIN_MAX,MODA_VARIATION,MEDIANA_MIN,MIN_KURTOSIS,HMEAN_MIN,GMEAN_MIN
15118,3,1,7,6,0,0,5,1,2.9921774459,3.0105816259099996,3.3636363636400004,2.6693046047099998,3,4,2.54852320675,1.7732138706799998,3,0.14301358438200001,3.0,6.1,2.2046511627900003,2.39370122609
6715,3,1,39,1,0,0,5,0,2.468216598,2.468216598,3.0,2.11933471933,3,4,2.468216598,1.4125956444999999,1,0.0,3.0,-3.0,2.11933471933,2.30930275815
27492,3,2,101,4,0,0,5,0,3.3206586382,3.34311881333,3.66666666667,2.9890562547099995,3,4,2.8,2.27247976596,1,0.128564869307,3.0,-3.0,2.37556561086,2.61081173475
29693,2,2,101,4,0,0,5,0,3.6391000136800002,3.6392655014699997,4.0,3.3596140798799996,4,4,3.59044368601,3.0458639339599998,1,0.0,4.0,-3.0,3.2676579925700002,3.46436032977
29677,2,2,100,6,0,0,4,0,2.8078383001200002,2.83716862057,3.26666666667,2.4632205876400004,2,4,2.36273291925,1.56840964816,2,0.17555765851100003,3.0,10.0714285714,2.0104058272599996,2.20112819036
26412,3,2,103,2,0,1,4,0,3.48945652129,3.49012033379,4.0,3.18651638619,4,4,3.42205323194,2.56132393626,1,0.0,4.0,-3.0,3.03170028818,3.26388377898
8181,3,1,7,8,0,1,4,0,2.70227448462,2.7117004241400005,3.0,2.29431557611,2,4,2.36273291925,1.21857265271,1,0.210818510678,3.0,-3.0,2.0104058272599996,2.20112819036
22242,1,1,33,7,0,0,6,0,2.5932040112599997,2.60116181192,2.83333333333,2.2434298510599997,2,3,2.3571428571400004,1.4736749632100001,1,0.131533410441,2.0,-3.0,1.9920948616599998,2.18495680984
9485,3,1,29,2,0,0,5,0,3.28001531097,3.28344591717,3.75,2.89944037254,3,4,3.1196646341500003,1.8818684237,1,0.115470053838,3.0,-3.0,2.7596844872900004,2.9662095516000004
7671,3,1,39,7,0,0,7,0,3.3194897930000002,3.32023269012,3.5,2.9787256092,3,4,3.25,1.97434357162,1,0.14285714285700002,3.0,-3.0,2.96907216495,3.1387454262700003
19048,3,1,7,2,0,1,5,0,2.86012632357,2.87065890621,3.13793103448,2.55296637551,3,4,2.468216598,1.72136604227,2,0.10989010989,3.0,9.57407407407,2.11933471933,2.30930275815
17385,4,1,5,1,0,1,2,0,3.20960035898,3.21500115101,4.0,2.83301731504,4,4,2.9924146649799996,1.86418252012,1,0.0,3.0,-3.0,2.5516129032299997,2.7993183265
1912,3,1,31,1,0,0,4,0,2.7854325685,2.78553681559,3.0,2.45636172862,3,4,2.7614379085,1.6912838329700002,1,0.0,3.0,-3.0,2.40395480226,2.63095709333
25928,3,2,101,6,0,0,2,0,2.56230329997,2.57674803405,3.0,2.1929756986599998,2,3,2.2,1.3873842678600001,1,0.130744090092,2.0,-3.0,1.875,2.0476725110799996
3553,4,1,25,2,0,0,5,0,3.55964516826,3.56034191445,4.0,3.2608741639599996,4,4,3.5069860279400005,2.7401417614200003,1,0.0,4.0,-3.0,3.16088328076,3.3738410146900004
16774,3,1,39,1,0,0,5,0,3.6182957762599997,3.6188034803500004,4.0,3.3772351865900005,4,4,3.5581874356300003,2.83980222621,1,0.0,4.0,-3.0,3.34923828686,3.4730413517300005
30393,1,2,101,1,0,0,4,0,2.70958287449,2.7209498047000005,2.85714285714,2.36019025256,2,3,2.19093078759,1.46289833438,3,0.122474487139,2.0,2.16666666667,1.8099352051800002,2.00402413152
3940,4,1,28,1,0,0,4,0,3.13241863361,3.13743060331,3.66666666667,2.7341348332099997,3,4,2.9924146649799996,1.6996614271700001,1,0.128564869307,3.0,-3.0,2.5516129032299997,2.7993183265
26072,4,3,203,1,0,0,12,0,2.7823199169099997,2.78488469416,3.0,2.36260460366,3,4,2.69230769231,1.44078675071,1,0.0,3.0,-3.0,2.22857142857,2.48798848454
11725,4,1,2,2,0,0,5,0,2.63591022444,2.63591022444,3.0,2.30791366906,3,4,2.63591022444,1.84039900249,1,0.0,3.0,-3.0,2.30791366906,2.4948525486099995
32994,2,2,107,1,0,0,2,0,3.1389743585799996,3.16942772583,3.33333333333,2.87102298935,3,4,2.8402948402900003,2.1192314626099997,1,0.141421356237,3.0,-3.0,2.50461538462,2.69734182379
11822,4,1,31,4,0,1,5,0,2.68145731749,2.69075430223,3.02222222222,2.33192503882,2,3,1.9883268482499998,1.5189977243000001,2,0.0851164478146,2.0,40.0227272727,1.63955342903,1.81182208445
16766,2,1,14,2,0,0,6,0,3.0022345828500003,3.02568882666,3.16666666667,2.62313901271,2,4,2.5714285714300003,1.49523910759,1,0.252412185438,2.5,-3.0,2.25,2.428968449
24738,3,1,3,5,0,0,5,0,2.84183020481,2.86059787332,3.17647058824,2.51285983687,3,4,2.34900990099,1.5870507095500002,1,0.120013716637,2.0,-3.0,1.9909650924000002,2.18172183434
13004,4,1,5,1,0,0,5,0,2.50225225225,2.50225225225,3.0,2.18719211823,3,4,2.50225225225,1.69256756757,1,0.0,3.0,-3.0,2.18719211823,2.36373049764
24712,3,1,5,1,0,1,5,0,3.2792208084099994,3.29522625075,3.7,2.9593643597900003,3,4,2.7278911564599997,2.11842594934,1,0.123853397161,3.0,-3.0,2.34713187463,2.5551509151
19430,4,1,31,2,0,0,7,0,3.66701680672,3.66701680672,4.0,3.43166115951,4,4,3.66701680672,3.0714285714300003,1,0.0,4.0,-3.0,3.43166115951,3.5754497746199996
